time,open,high,low,close,Plot,Plot,"BTCUSDTPERP, BINANCE: Open","BTCUSDTPERP, BINANCE: High","BTCUSDTPERP, BINANCE: Low","BTCUSDTPERP, BINANCE: Close",Volume,Volume MA,EMA,EMA,Histogram,MACD,Signal,Hist,MacNorm,Plot,Trigger,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1606222800,19174.57,19333,19105.4,19192.52,18796.4579,18796.4579,19174.57,19333,19105.4,19192.52,27634.712,18016.46555,18567.40124,18690.66942,90.01559511,163.4340736,73.41847848,0.173283752,0.999834,NaN,0.826550248,69.97861662,55.76576405,NaN,NaN
1606226400,19192.53,19400,19112.6,19400,18882.6782,18882.6782,19192.53,19400,19112.6,19400,21817.938,18670.54045,18600.05217,18755.15401,99.55709568,197.8648481,98.3077524,0.102181908,0.999849807,NaN,0.897667899,73.94038643,57.75404695,NaN,NaN
1606230000,19398.21,19428,19270,19369.19,18952.17989,18952.17989,19398.21,19428,19270,19369.19,20887.049,19344.22605,18630.21444,18810.97547,97.45610068,220.1278782,122.6717776,0.050134209,0.999857619,NaN,0.94972341,72.41222039,59.24040621,NaN,NaN
1606233600,19369.19,19440,19137.01,19319,19004.58276,19004.58276,19369.19,19440,19137.01,19319,27745.947,20291.20045,18657.22564,18857.15952,86.70904415,231.0580828,144.3490386,0.016574675,0.999855794,NaN,0.983281119,69.87859066,60.9775002,NaN,NaN
1606237200,19319,19363.23,19163.46,19225.8,19036.18522,19036.18522,19319,19363.23,19163.46,19225.8,12340.303,20533.51335,18679.52267,18890.67229,68.16375706,229.5537349,161.3899779,-0.023046378,0.969030683,NaN,0.992077061,65.30889755,62.38052044,NaN,NaN
1606240800,19227.73,19286,19170,19276.87,19070.56876,19070.56876,19227.73,19286,19170,19276.87,9103.312,20669.8408,18702.94806,18925.78117,54.75448007,229.833078,175.0785979,-0.035918381,0.948096009,NaN,0.98401439,66.59789302,63.50721239,NaN,NaN
1606244400,19276.87,19304.56,19182,19183.24,19086.66465,19086.66465,19276.87,19304.56,19182,19183.24,7593.598,20383.68665,18721.78304,18949.18652,35.9080787,219.9636963,184.0556176,-0.104931312,0.851189843,NaN,0.956121155,62.0461086,64.68158246,NaN,NaN
1606248000,19183.24,19274.18,19000,19082.23,19086.03113,19086.03113,19183.24,19274.18,19000,19082.23,27886.881,21232.5536,18735.91821,18961.28138,14.08893646,201.6667881,187.5778517,-0.202613479,0.698347642,NaN,0.900961121,57.48169693,65.29975927,NaN,NaN
1606251600,19081.66,19144.43,18872,18961.51,19068.2424,19068.2424,19081.66,19144.43,18872,18961.51,20784.177,21593.0044,18744.76495,18961.30216,-9.739624367,175.4033212,185.1429456,-0.320940448,0.489862472,NaN,0.81080292,52.50992502,65.66340894,NaN,NaN
1606255200,18963.54,19144.9,18876.4,19140,19078.49348,19078.49348,18963.54,19144.9,18876.4,19140,10317.924,21631.80345,18760.26436,18977.54742,-14.46143553,167.0661512,181.5275867,-0.298375042,0.419536962,NaN,0.717912004,58.25860253,65.64678367,NaN,NaN
1606258800,19140,19220,19100,19179.64,19092.94299,19092.94299,19140,19220,19100,19179.64,11305.574,21828.4664,18776.71047,18995.91947,-15.78810311,161.7924578,177.5805609,-0.254901642,0.373884429,NaN,0.628786072,59.43307179,64.96619105,NaN,NaN
1606262400,19178.53,19240.56,19138.79,19182.02,19105.66827,19105.66827,19178.53,19240.56,19138.79,19182.02,8970.425,21757.2959,18792.60496,19012.8377,-17.25907623,156.0067156,173.2657919,-0.218285886,0.325634637,NaN,0.543920522,59.5067409,64.63020609,NaN,NaN
1606266000,19180.45,19238,19088,19124.66,19108.38138,19108.38138,19180.45,19238,19088,19124.66,7325.177,21605.6026,18805.62672,19023.00337,-22.51651674,145.1201459,167.6366627,-0.216539969,0.240463512,NaN,0.457003481,56.82822497,63.84202896,NaN,NaN
1606269600,19124.66,19124.67,18913.5,18995.96,19092.32118,19092.32118,19124.66,19124.67,18913.5,18995.96,14235.424,20584.6072,18813.09077,19020.54488,-34.37307036,124.6703247,159.0433951,-0.270568589,0.085375665,NaN,0.355944254,51.25370564,62.53104865,NaN,NaN
1606273200,18995.96,19068.94,18750,18825,19054.13244,19054.13244,18995.96,19068.94,18750,18825,19693.149,21066.4095,18813.5578,19002.76807,-52.36287141,93.58980582,145.9526772,-0.37525274,-0.147257585,NaN,0.227995156,44.94646348,60.74303771,NaN,NaN
1606276800,18825,18940,18671,18708.57,19004.76638,19004.76638,18825,18940,18671,18708.57,20327.18,21300.9696,18809.44063,18976.02279,-69.65449524,58.88455819,128.5390534,-0.497991523,-0.430190948,NaN,0.067800575,41.22565849,58.40627143,NaN,NaN
1606280400,18708.57,18904,18635.01,18896.64,18989.31975,18989.31975,18708.57,18904,18635.01,18896.64,14394.27,18743.35235,18812.86022,18968.80618,-66.0108243,46.02552305,112.0363474,-0.496142953,-0.59252955,NaN,-0.096386597,48.62409838,56.70711985,NaN,NaN
1606284000,18896.65,18952.7,18862.33,18908.52,18977.77693,18977.77693,18896.65,18952.7,18862.33,18908.52,10282.477,17105.35425,18816.61158,18963.32561,-60.52990561,36.37396534,96.90387095,-0.420355872,-0.667171963,NaN,-0.246816091,49.06030308,55.22009931,NaN,NaN
1606287600,18909.58,19063,18851,18991.05,18979.67308,18979.67308,18909.58,19063,18851,18991.05,10578.074,16774.5484,18823.4523,18965.84601,-49.53807658,34.98127522,84.5193518,-0.29573372,-0.667291297,NaN,-0.371557577,52.10274034,54.27680237,NaN,NaN
